Dataset name,Region name,Atom name,I: Area Bader charge,I: Average curvature,I: Average curvature-scaled torsion,I: Average net plane curvature,I: Average torsion,I: Deformation (kinetic) energy,I: Deformation (kinetic) negative energy,I: Deformation (kinetic) positive energy,I: Deformation charge,I: Deformation negative charge,I: Deformation negative volume,I: Deformation positive charge,I: Deformation positive volume,I: Deformation volume,I: Electron Density SCF,I: Electron Localization Function SCF,I: Gradient bundle partition function contribution (from IN Te),I: Gradient bundle probability (from IN Te),I: Kinetic Energy Density SCF,I: Solid angle (alpha),I: Te per electron,I: Te per valence electron,I: Valence Bader charge,I: Valence density,I: Volume,I: Volume Bader charge,I: Volume fraction,I: Area Bader charge (boundary),I: Average curvature (boundary),I: Average curvature-scaled torsion (boundary),I: Average net plane curvature (boundary),I: Average torsion (boundary),I: Deformation (kinetic) energy (boundary),I: Deformation (kinetic) negative energy (boundary),I: Deformation (kinetic) positive energy (boundary),I: Deformation charge (boundary),I: Deformation negative charge (boundary),I: Deformation negative volume (boundary),I: Deformation positive charge (boundary),I: Deformation positive volume (boundary),I: Deformation volume (boundary),I: Electron Density SCF (boundary),I: Electron Localization Function SCF (boundary),I: Gradient bundle partition function contribution (from IN Te) (boundary),I: Gradient bundle probability (from IN Te) (boundary),I: Kinetic Energy Density SCF (boundary),I: Solid angle (alpha) (boundary),I: Te per electron (boundary),I: Te per valence electron (boundary),I: Valence Bader charge (boundary),I: Valence density (boundary),I: Volume (boundary),I: Volume Bader charge (boundary),I: Volume fraction (boundary),I: Area Bader charge (with boundary error),I: Average curvature (with boundary error),I: Average curvature-scaled torsion (with boundary error),I: Average net plane curvature (with boundary error),I: Average torsion (with boundary error),I: Deformation (kinetic) energy (with boundary error),I: Deformation (kinetic) negative energy (with boundary error),I: Deformation (kinetic) positive energy (with boundary error),I: Deformation charge (with boundary error),I: Deformation negative charge (with boundary error),I: Deformation negative volume (with boundary error),I: Deformation positive charge (with boundary error),I: Deformation positive volume (with boundary error),I: Deformation volume (with boundary error),I: Electron Density SCF (with boundary error),I: Electron Localization Function SCF (with boundary error),I: Gradient bundle partition function contribution (from IN Te) (with boundary error),I: Gradient bundle probability (from IN Te) (with boundary error),I: Kinetic Energy Density SCF (with boundary error),I: Solid angle (alpha) (with boundary error),I: Te per electron (with boundary error),I: Te per valence electron (with boundary error),I: Valence Bader charge (with boundary error),I: Valence density (with boundary error),I: Volume (with boundary error),I: Volume Bader charge (with boundary error),I: Volume fraction (with boundary error)
cis-1-3-butadiene_EEF00125-xMinus_SP,Bond 5 from INS: Electron Density SCF,C 2: Max (node 6100) from INS: Electron Density SCF,0.015542105,385.32168,9.4056896,242.80077,236.6719,-0.019172673,-0.22731331,0.20814064,-0.028802567,-0.39707531,-9.6329026,0.36827274,4.962419,-4.6704836,1.8363825,7.543626,7.5349012,0.30794628,1.8398305,0.3086541,1937.6896,3218.9211,0.028802567,1.2190743,21.805702,-0.31114331,0.25420654,0.027683208,6.2040589,0.38635871,3.2737166,1.5908068,-0.017841221,-0.018012196,0.00017097561,-0.028478443,-0.028770729,-0.32166528,0.00029228586,0.041492638,-0.28017264,0.083377509,0.45545039,0.57979125,0.023695673,0.093644002,0.01851012,99.056376,181.66067,0.028478443,0.04635727,1.3076156,0.0080860265,0.015243923,0.001700501 +/- 0.013841604,382.21965 +/- 3.1020294,9.2125103 +/- 0.19317936,241.16392 +/- 1.6368583,235.8765 +/- 0.7954034,-0.010252063 +/- 0.0089206103,-0.21830721 +/- 0.0090060981,0.20805515 +/- 8.5487807e-05,-0.014563346 +/- 0.014239222,-0.38268994 +/- 0.014385365,-9.47207 +/- 0.16083264,0.3681266 +/- 0.00014614293,4.9416727 +/- 0.020746319,-4.5303973 +/- 0.14008632,1.7946938 +/- 0.041688754,7.3159008 +/- 0.2277252,7.2450056 +/- 0.28989563,0.29609844 +/- 0.011847837,1.7930085 +/- 0.046822001,0.29939904 +/- 0.0092550598,1888.1614 +/- 49.528188,3128.0908 +/- 90.830336,0.014563346 +/- 0.014239222,1.1958957 +/- 0.023178635,21.151894 +/- 0.65380781,-0.31518632 +/- 0.0040430133,0.24658457 +/- 0.0076219613
cis-1-3-butadiene_EEF00125-xMinus_SP,Bond 5 from INS: Kinetic Energy Density SCF,C 2: Max (node 6100) from INS: Kinetic Energy Density SCF,0.028127695,387.13064,9.5280437,243.65575,236.59971,-0.02693173,-0.23507237,0.20814064,-0.041668108,-0.40994085,-9.8476155,0.36827274,4.962419,-4.8851965,1.8628941,7.6478187,7.7676588,0.31745892,1.8713181,0.3151703,1972.1002,3286.5632,0.041668108,1.2325535,22.149945,-0.3135762,0.25821965,0.027858507,6.1653858,0.40082834,3.149614,1.2766236,-0.017911075,-0.01791532,4.2452039e-06,-0.028667206,-0.028677978,-0.33247002,1.0771832e-05,0.064225858,-0.26824416,0.085082533,0.47657763,0.56658529,0.023155954,0.095461657,0.018823507,98.944327,180.38114,0.028667206,0.04743552,1.3464263,0.0090956843,0.01569637,0.014198442 +/- 0.013929253,384.04795 +/- 3.0826929,9.3276295 +/- 0.20041417,242.08095 +/- 1.574807,235.9614 +/- 0.63831181,-0.017976192 +/- 0.0089555374,-0.22611471 +/- 0.00895766,0.20813851 +/- 2.1226019e-06,-0.027334505 +/- 0.014333603,-0.39560186 +/- 0.014338989,-9.6813805 +/- 0.16623501,0.36826735 +/- 5.3859158e-06,4.9303061 +/- 0.032112929,-4.7510744 +/- 0.13412208,1.8203528 +/- 0.042541266,7.4095299 +/- 0.23828881,7.4843662 +/- 0.28329264,0.30588094 +/- 0.011577977,1.8235872 +/- 0.047730829,0.30575854 +/- 0.0094117533,1922.6281 +/- 49.472164,3196.3726 +/- 90.190569,0.027334505 +/- 0.014333603,1.2088357 +/- 0.02371776,21.476732 +/- 0.67321313,-0.31812404 +/- 0.0045478421,0.25037146 +/- 0.0078481848
cis-1-3-butadiene_EEF00125-xMinus_SP,Bond 5 from INS: Volume,C 2: Max (node 6100) from INS: Volume,-0.084922611,366.63903,8.4676458,234.02961,236.78479,0.043017983,-0.16512265,0.20814064,0.073933895,-0.29433884,-7.9135184,0.36827274,4.962419,-2.9510994,1.6195806,6.6853475,5.7643124,0.23558352,1.5835418,0.25577632,1672.5687,2699.3547,-0.073933895,1.1080279,18.989258,-0.29134259,0.22137299,0.027870604,5.5394585,0.33362885,2.9626425,0.11347025,-0.017936759,-0.017936759,0,-0.028599279,-0.028599279,-0.32527504,0,0.014384131,-0.3108909,0.073894412,0.38646347,0.54897118,0.022436078,0.084217231,0.016960836,88.952549,165.53633,0.028599279,0.03997274,1.1440006,0.0061247781,0.013336532,-0.098857913 +/- 0.013935302,363.8693 +/- 2.7697292,8.3008314 +/- 0.16681442,232.54829 +/- 1.4813212,236.72806 +/- 0.056735124,0.051986362 +/- 0.0089683795,-0.15615427 +/- 0.0089683795,0.20814064 +/- 0,0.088233534 +/- 0.014299639,-0.28003921 +/- 0.014299639,-7.7508809 +/- 0.16263752,0.36827274 +/- 0,4.955227 +/- 0.0071920654,-2.7956539 +/- 0.15544545,1.5826334 +/- 0.036947206,6.4921158 +/- 0.19323174,5.4898268 +/- 0.27448559,0.22436548 +/- 0.011218039,1.5414332 +/- 0.042108616,0.24729591 +/- 0.008480418,1628.0924 +/- 44.476275,2616.5866 +/- 82.768165,-0.088233534 +/- 0.014299639,1.0880415 +/- 0.01998637,18.417258 +/- 0.57200031,-0.29440498 +/- 0.003062389,0.21470473 +/- 0.0066682658
cis-1-3-butadiene_EEF00125-xMinus_SP,Bond 6 from INS: Electron Density SCF,full,0.020326376,1738.5283,76.645453,1207.8044,1491.5636,-0.039034338,-0.37922262,0.34018828,-0.043981471,-0.70700947,-17.417223,0.663028,18.843666,1.426443,2.7104193,40.992254,3140.8362,1.2914997,2.3137261,1.2884576,5480.9021,6676.2289,0.043981471,2.133504,78.86518,0.12010151,1.3050868,0.023324118,6.6154137,0.37162499,3.8977704,1.3947097,-0.015352588,-0.015425314,7.2725763e-05,-0.024071293,-0.024247335,-0.23508859,0.00017604191,0.067565499,-0.16752309,0.081024527,0.47269862,0.5165091,0.021109375,0.089394907,0.017391441,93.924668,167.91253,0.024071293,0.046241645,1.3243055,0.011606413,0.01543849,0.0086643169 +/- 0.011662059,1735.2206 +/- 3.3077069,76.459641 +/- 0.18581249,1205.8555 +/- 1.9488852,1490.8663 +/- 0.69735483,-0.031358044 +/- 0.0076762939,-0.37150996 +/- 0.0077126568,0.34015192 +/- 3.6362881e-05,-0.031945825 +/- 0.012035647,-0.6948858 +/- 0.012123667,-17.299679 +/- 0.11754429,0.66293997 +/- 8.8020954e-05,18.809884 +/- 0.033782749,1.5102045 +/- 0.083761543,2.669907 +/- 0.040512263,40.755904 +/- 0.23634931,3140.5779 +/- 0.25825455,1.280945 +/- 0.010554687,2.2690287 +/- 0.044697453,1.2797619 +/- 0.0086957204,5433.9398 +/- 46.962334,6592.2727 +/- 83.956265,0.031945825 +/- 0.012035647,2.1103832 +/- 0.023120822,78.203027 +/- 0.66215275,0.1142983 +/- 0.0058032067,1.2973675 +/- 0.0077192449
cis-1-3-butadiene_EEF00125-xMinus_SP,Bond 6 from INS: Electron Density SCF,C 2: Max (node 6120) from INS: Electron Density SCF,0.031588695,334.3846,9.6520514,140.06415,127.52889,-0.039034338,-0.21298452,0.17395019,-0.043981471,-0.36705378,-7.0185818,0.32307231,8.4450248,1.426443,1.6991569,9.459888,7.132483,0.29149972,1.6983267,0.2884576,1829.7324,3025.0592,0.043981471,1.1222417,26.170184,0.13136383,0.30508679,0.023324118,6.6154137,0.37162499,3.8977704,1.3947097,-0.015352588,-0.015425314,7.2725763e-05,-0.024071293,-0.024247335,-0.23508859,0.00017604191,0.067565499,-0.16752309,0.081024527,0.47269862,0.5165091,0.021109375,0.089394907,0.017391441,93.924668,167.91253,0.024071293,0.046241645,1.3243055,0.011606413,0.01543849,0.019926636 +/- 0.011662059,331.0769 +/- 3.3077069,9.4662389 +/- 0.18581249,138.11527 +/- 1.9488852,126.83154 +/- 0.69735483,-0.031358044 +/- 0.0076762939,-0.20527187 +/- 0.0077126568,0.17391382 +/- 3.6362881e-05,-0.031945825 +/- 0.012035647,-0.35493011 +/- 0.012123667,-6.9010375 +/- 0.11754429,0.32298429 +/- 8.8020954e-05,8.411242 +/- 0.033782749,1.5102046 +/- 0.083761543,1.6586447 +/- 0.040512263,9.2235387 +/- 0.23634931,6.8742285 +/- 0.25825455,0.28094503 +/- 0.010554687,1.6536292 +/- 0.044697453,0.27976188 +/- 0.0086957204,1782.77 +/- 46.962334,2941.1029 +/- 83.956265,0.031945825 +/- 0.012035647,1.0991209 +/- 0.023120822,25.508031 +/- 0.66215275,0.12556062 +/- 0.0058032067,0.29736755 +/- 0.0077192449
cis-1-3-butadiene_EEF00125-xMinus_SP,Bond 6 from INS: Electron Density SCF,H 4: Max (node 5464) from INS: Electron Density SCF,-0.011262319,1404.1437,66.993402,1067.7403,1364.0348,1.6116886e-11,-0.16623809,0.16623809,-2.7180391e-10,-0.33995569,-10.398642,0.33995569,10.398642,-1.1060365e-08,1.0112623,31.532366,3133.7037,1,0.61539943,1,3651.1698,3651.1698,2.7180391e-10,1.0112623,52.694996,-0.011262319,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.011262319 +/- 0,1404.1437 +/- 0,66.993402 +/- 0,1067.7403 +/- 0,1364.0348 +/- 0,1.6116886e-11 +/- 0,-0.16623809 +/- 0,0.16623809 +/- 0,-2.7180391e-10 +/- 0,-0.33995569 +/- 0,-10.398642 +/- 0,0.33995569 +/- 0,10.398642 +/- 0,-1.1060365e-08 +/- 0,1.0112623 +/- 0,31.532366 +/- 0,3133.7037 +/- 0,1 +/- 0,0.61539943 +/- 0,1 +/- 0,3651.1698 +/- 0,3651.1698 +/- 0,2.7180391e-10 +/- 0,1.0112623 +/- 0,52.694996 +/- 0,-0.011262319 +/- 0,1 +/- 0
cis-1-3-butadiene_EEF00125-xMinus_SP,Bond 6 from INS: Kinetic Energy Density SCF,full,0.01398623,1735.8928,76.511272,1206.8973,1491.5636,-0.036079897,-0.37626818,0.34018828,-0.037498289,-0.70052628,-17.159232,0.663028,18.843666,1.6844344,2.6967833,40.997989,3140.7449,1.2877684,2.2966281,1.2851282,5460.9028,6637.1262,0.037498289,2.1265268,78.837581,0.13180704,1.3047651,0.023800473,6.7766848,0.37005404,3.929839,1.7806489,-0.015679385,-0.015750356,7.0970974e-05,-0.024568308,-0.024686103,-0.23847141,0.0001177951,0.065888631,-0.17258278,0.08343351,0.48598272,0.52158209,0.021316704,0.091964476,0.01787233,95.041435,169.71022,0.024568308,0.047688849,1.3604963,0.011728859,0.015860395,0.002085993 +/- 0.011900237,1732.5045 +/- 3.3883424,76.326245 +/- 0.18502702,1204.9324 +/- 1.9649195,1490.6733 +/- 0.89032444,-0.028240205 +/- 0.0078396927,-0.368393 +/- 0.0078751782,0.3401528 +/- 3.5485487e-05,-0.025214135 +/- 0.012284154,-0.68818323 +/- 0.012343051,-17.039996 +/- 0.11923571,0.6629691 +/- 5.8897549e-05,18.810722 +/- 0.032944316,1.7707258 +/- 0.086291392,2.6550665 +/- 0.041716755,40.754998 +/- 0.24299136,3140.4841 +/- 0.26079104,1.27711 +/- 0.010658352,2.2506458 +/- 0.045982238,1.2761921 +/- 0.0089361652,5413.382 +/- 47.520718,6552.2711 +/- 84.855108,0.025214135 +/- 0.012284154,2.1026823 +/- 0.023844424,78.157333 +/- 0.68024813,0.12594261 +/- 0.0058644293,1.2968349 +/- 0.0079301974
cis-1-3-butadiene_EEF00125-xMinus_SP,Bond 6 from INS: Kinetic Energy Density SCF,C 2: Max (node 6128) from INS: Kinetic Energy Density SCF,0.025248549,331.74914,9.5178698,139.15706,127.52889,-0.036079897,-0.21003008,0.17395019,-0.037498288,-0.3605706,-6.7605903,0.32307231,8.4450248,1.6844344,1.6855209,9.4656234,7.0411835,0.28776837,1.6812286,0.28512825,1809.733,2985.9565,0.037498288,1.1152644,26.142585,0.14306936,0.30476505,0.023800473,6.7766848,0.37005404,3.929839,1.7806489,-0.015679385,-0.015750356,7.0970974e-05,-0.024568308,-0.024686103,-0.23847141,0.0001177951,0.065888631,-0.17258278,0.08343351,0.48598272,0.52158209,0.021316704,0.091964476,0.01787233,95.041435,169.71022,0.024568308,0.047688849,1.3604963,0.011728859,0.015860395,0.013348312 +/- 0.011900237,328.3608 +/- 3.3883424,9.3328428 +/- 0.18502702,137.19215 +/- 1.9649195,126.63857 +/- 0.89032444,-0.028240205 +/- 0.0078396927,-0.20215491 +/- 0.0078751782,0.1739147 +/- 3.5485487e-05,-0.025214134 +/- 0.012284154,-0.34822755 +/- 0.012343051,-6.6413546 +/- 0.11923571,0.32301341 +/- 5.8897549e-05,8.4120805 +/- 0.032944316,1.7707258 +/- 0.086291392,1.6438042 +/- 0.041716755,9.222632 +/- 0.24299136,6.7803924 +/- 0.26079104,0.27711002 +/- 0.010658352,1.6352464 +/- 0.045982238,0.27619208 +/- 0.0089361652,1762.2123 +/- 47.520718,2901.1013 +/- 84.855108,0.025214134 +/- 0.012284154,1.09142 +/- 0.023844424,25.462337 +/- 0.68024813,0.13720493 +/- 0.0058644293,0.29683485 +/- 0.0079301974
cis-1-3-butadiene_EEF00125-xMinus_SP,Bond 6 from INS: Kinetic Energy Density SCF,H 4: Max (node 5464) from INS: Kinetic Energy Density SCF,-0.011262319,1404.1437,66.993402,1067.7403,1364.0348,1.6116886e-11,-0.16623809,0.16623809,-2.7180391e-10,-0.33995569,-10.398642,0.33995569,10.398642,-1.1060365e-08,1.0112623,31.532366,3133.7037,1,0.61539943,1,3651.1698,3651.1698,2.7180391e-10,1.0112623,52.694996,-0.011262319,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.011262319 +/- 0,1404.1437 +/- 0,66.993402 +/- 0,1067.7403 +/- 0,1364.0348 +/- 0,1.6116886e-11 +/- 0,-0.16623809 +/- 0,0.16623809 +/- 0,-2.7180391e-10 +/- 0,-0.33995569 +/- 0,-10.398642 +/- 0,0.33995569 +/- 0,10.398642 +/- 0,-1.1060365e-08 +/- 0,1.0112623 +/- 0,31.532366 +/- 0,3133.7037 +/- 0,1 +/- 0,0.61539943 +/- 0,1 +/- 0,3651.1698 +/- 0,3651.1698 +/- 0,2.7180391e-10 +/- 0,1.0112623 +/- 0,52.694996 +/- 0,-0.011262319 +/- 0,1 +/- 0
cis-1-3-butadiene_EEF00125-xMinus_SP,Bond 6 from INS: Volume,full,-0.00066316669,1740.8098,76.572317,1208.9483,1491.5636,-0.023508353,-0.36369663,0.34018828,-0.022541693,-0.68556969,-17.557084,0.663028,18.843666,1.2865825,2.66853,40.608862,3140.4016,1.2737393,2.266133,1.2779778,5433.1793,6580.5794,0.022541693,2.1125744,77.826368,0.089329169,1.2929765,0.030641759,4.905234,0.29202015,2.309049,0.12786143,-0.01968477,-0.01968477,0,-0.031386205,-0.031386205,-0.34059416,0,0.0063283898,-0.33426577,0.073325737,0.39864515,0.604755,0.024715925,0.08468012,0.017327916,92.403211,176.09617,0.031386205,0.038669905,1.1521137,0.007260936,0.013431112,-0.015984046 +/- 0.01532088,1738.3572 +/- 2.452617,76.426307 +/- 0.14601008,1207.7938 +/- 1.1545245,1491.4997 +/- 0.063930713,-0.013665968 +/- 0.009842385,-0.35385425 +/- 0.009842385,0.34018828 +/- 0,-0.0068485908 +/- 0.015693102,-0.66987659 +/- 0.015693102,-17.386787 +/- 0.17029708,0.663028 +/- 0,18.840502 +/- 0.0031641949,1.4537154 +/- 0.16713289,2.6318672 +/- 0.036662869,40.40954 +/- 0.19932257,3140.0993 +/- 0.3023775,1.2613814 +/- 0.012357962,2.2237929 +/- 0.04234006,1.2693139 +/- 0.008663958,5386.9777 +/- 46.201606,6492.5313 +/- 88.048086,0.0068485908 +/- 0.015693102,2.0932395 +/- 0.019334953,77.250311 +/- 0.57605685,0.085698701 +/- 0.003630468,1.286261 +/- 0.0067155561
cis-1-3-butadiene_EEF00125-xMinus_SP,Bond 6 from INS: Volume,C 2: Max (node 6122) from INS: Volume,0.010599153,336.6661,9.5789148,141.20807,127.52889,-0.023508353,-0.19745854,0.17395019,-0.022541693,-0.345614,-7.1584423,0.32307231,8.4450248,1.2865825,1.6572677,9.0764966,6.6979177,0.27373933,1.6507336,0.27797781,1782.0095,2929.4096,0.022541693,1.1013121,25.131372,0.10059149,0.29297653,0.030641759,4.905234,0.29202015,2.309049,0.12786143,-0.01968477,-0.01968477,0,-0.031386205,-0.031386205,-0.34059416,0,0.0063283898,-0.33426577,0.073325737,0.39864515,0.604755,0.024715925,0.08468012,0.017327916,92.403211,176.09617,0.031386205,0.038669905,1.1521137,0.007260936,0.013431112,-0.004721727 +/- 0.01532088,334.21348 +/- 2.452617,9.4329048 +/- 0.14601008,140.05354 +/- 1.1545245,127.46496 +/- 0.063930713,-0.013665968 +/- 0.009842385,-0.18761615 +/- 0.009842385,0.17395019 +/- 0,-0.0068485905 +/- 0.015693102,-0.3299209 +/- 0.015693102,-6.9881452 +/- 0.17029708,0.32307231 +/- 0,8.4418606 +/- 0.0031641949,1.4537154 +/- 0.16713289,1.6206048 +/- 0.036662869,8.877174 +/- 0.19932257,6.3955402 +/- 0.3023775,0.26138137 +/- 0.012357962,1.6083935 +/- 0.04234006,0.26931385 +/- 0.008663958,1735.8079 +/- 46.201606,2841.3615 +/- 88.048086,0.0068485905 +/- 0.015693102,1.0819771 +/- 0.019334953,24.555315 +/- 0.57605685,0.09696102 +/- 0.003630468,0.28626098 +/- 0.0067155561
cis-1-3-butadiene_EEF00125-xMinus_SP,Bond 6 from INS: Volume,H 4: Max (node 5464) from INS: Volume,-0.011262319,1404.1437,66.993402,1067.7403,1364.0348,1.6116886e-11,-0.16623809,0.16623809,-2.7180391e-10,-0.33995569,-10.398642,0.33995569,10.398642,-1.1060365e-08,1.0112623,31.532366,3133.7037,1,0.61539943,1,3651.1698,3651.1698,2.7180391e-10,1.0112623,52.694996,-0.011262319,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.011262319 +/- 0,1404.1437 +/- 0,66.993402 +/- 0,1067.7403 +/- 0,1364.0348 +/- 0,1.6116886e-11 +/- 0,-0.16623809 +/- 0,0.16623809 +/- 0,-2.7180391e-10 +/- 0,-0.33995569 +/- 0,-10.398642 +/- 0,0.33995569 +/- 0,10.398642 +/- 0,-1.1060365e-08 +/- 0,1.0112623 +/- 0,31.532366 +/- 0,3133.7037 +/- 0,1 +/- 0,0.61539943 +/- 0,1 +/- 0,3651.1698 +/- 0,3651.1698 +/- 0,2.7180391e-10 +/- 0,1.0112623 +/- 0,52.694996 +/- 0,-0.011262319 +/- 0,1 +/- 0
cis-1-3-butadiene_EEF00125-xMinus_SP,Bond 7 from INS: Electron Density SCF,full,-0.14047703,820.46991,25.0333,448.90596,788.03317,0.12053153,-0.54134157,0.6618731,0.11971501,-0.96494506,-21.575038,1.0846601,23.584263,2.0092243,4.786014,30.365868,19.072903,0.76273914,4.7736388,0.77425616,4906.3195,8195.1823,-0.11971501,3.2375017,72.024059,0.008830543,0.79914075,0.071586088,16.126689,0.96002141,8.2888902,13.621365,-0.044628795,-0.044909868,0.00028107326,-0.072710085,-0.073279206,-1.1070838,0.00056912015,0.093796237,-1.0132875,0.18997406,1.0549869,1.425895,0.056841312,0.21732094,0.043593358,232.73825,439.54529,0.072710085,0.10278734,2.9417453,0.0055045523,0.032579768,-0.17627007 +/- 0.035793044,812.40656 +/- 8.0633447,24.553289 +/- 0.4800107,444.76152 +/- 4.1444451,781.22249 +/- 6.8106826,0.14284592 +/- 0.022314398,-0.51888664 +/- 0.022454934,0.66173256 +/- 0.00014053663,0.15607006 +/- 0.036355043,-0.92830545 +/- 0.036639603,-21.021497 +/- 0.55354188,1.0843755 +/- 0.00028456008,23.537365 +/- 0.046898119,2.5158681 +/- 0.50664376,4.6910269 +/- 0.094987028,29.838375 +/- 0.52749344,18.359956 +/- 0.7129475,0.73431849 +/- 0.028420656,4.6649783 +/- 0.10866047,0.75245948 +/- 0.021796679,4789.9504 +/- 116.36912,7975.4097 +/- 219.77265,-0.15607006 +/- 0.036355043,3.186108 +/- 0.051393671,70.553186 +/- 1.4708726,0.0060782668 +/- 0.0027522762,0.78285087 +/- 0.016289884
cis-1-3-butadiene_EEF00125-xMinus_SP,Bond 7 from INS: Electron Density SCF,C 1: Max (node 6112) from INS: Electron Density SCF,-0.05038402,452.66959,13.280166,265.31026,563.39244,0.062324516,-0.25641389,0.31873841,0.046930975,-0.46756122,-11.716329,0.5144922,10.481513,-1.2348163,2.2785912,14.518054,9.2720545,0.36218514,2.2888623,0.37136787,2380.2696,3997.5307,-0.046930975,1.5358555,34.220474,-0.12798673,0.35843408,0.040853114,8.2462792,0.43920984,3.8387872,11.87845,-0.024916515,-0.024928847,1.2331428e-05,-0.041059956,-0.041082717,-0.6858911,2.276148e-05,0.010702193,-0.6751889,0.092619298,0.53633624,0.79347199,0.030994615,0.1084559,0.022245402,118.65037,233.1305,0.041059956,0.048128494,1.4486275,-0.0015795037,0.015173299,-0.070810577 +/- 0.020426557,448.54645 +/- 4.1231396,13.060561 +/- 0.21960492,263.39087 +/- 1.9193936,557.45322 +/- 5.9392252,0.074782774 +/- 0.012458258,-0.24394947 +/- 0.012464423,0.31873224 +/- 6.1657142e-06,0.067460953 +/- 0.020529978,-0.44701986 +/- 0.020541359,-11.373384 +/- 0.34294555,0.51448082 +/- 1.138074e-05,10.476162 +/- 0.0053510967,-0.89722184 +/- 0.33759445,2.2322816 +/- 0.046309649,14.249886 +/- 0.26816812,8.8753185 +/- 0.39673599,0.34668783 +/- 0.015497308,2.2346344 +/- 0.054227949,0.36024516 +/- 0.011122701,2320.9444 +/- 59.325186,3880.9655 +/- 116.56525,-0.067460953 +/- 0.020529978,1.5117912 +/- 0.024064247,33.49616 +/- 0.72431377,-0.12719697 +/- 0.00078975187,0.35084743 +/- 0.0075866496
cis-1-3-butadiene_EEF00125-xMinus_SP,Bond 7 from INS: Electron Density SCF,C 2: Max (node 6148) from INS: Electron Density SCF,-0.09009301,367.80031,11.753134,183.5957,224.64073,0.05820701,-0.28492768,0.34313469,0.072784039,-0.49738383,-9.8587092,0.57016787,13.10275,3.2440406,2.5074228,15.847814,9.8008488,0.40055401,2.4847765,0.40288829,2526.05,4197.6516,-0.072784039,1.7016462,37.803585,0.13681727,0.44070667,0.030732974,7.8804102,0.52081157,4.450103,1.7429148,-0.01971228,-0.019981022,0.00026874183,-0.03165013,-0.032196488,-0.42119266,0.00054635867,0.083094044,-0.33809861,0.097354759,0.51865064,0.63242301,0.025846697,0.10886504,0.021347955,114.08787,206.4148,0.03165013,0.054658848,1.4931177,0.007084056,0.017406469,-0.1054595 +/- 0.015366487,363.86011 +/- 3.9402051,11.492729 +/- 0.26040578,181.37065 +/- 2.2250515,223.76927 +/- 0.8714574,0.06806315 +/- 0.0098561399,-0.27493717 +/- 0.0099905108,0.34300032 +/- 0.00013437092,0.088609104 +/- 0.015825065,-0.48128559 +/- 0.016098244,-9.6481129 +/- 0.21059633,0.56989469 +/- 0.00027317934,13.061203 +/- 0.041547022,3.4130899 +/- 0.16904931,2.4587454 +/- 0.048677379,15.588489 +/- 0.25932532,9.4846373 +/- 0.3162115,0.38763066 +/- 0.012923349,2.4303439 +/- 0.05443252,0.39221431 +/- 0.010673978,2469.0061 +/- 57.043937,4094.4442 +/- 103.2074,-0.088609104 +/- 0.015825065,1.6743167 +/- 0.027329424,37.057026 +/- 0.74655885,0.13327524 +/- 0.003542028,0.43200344 +/- 0.0087032345
cis-1-3-butadiene_EEF00125-xMinus_SP,Bond 7 from INS: Kinetic Energy Density SCF,full,-0.14894375,824.56427,25.100742,449.96686,791.91497,0.12778217,-0.53409093,0.6618731,0.12832494,-0.95633513,-21.746995,1.0846601,23.584263,1.8372675,4.7712998,30.175003,18.860342,0.75418042,4.7576385,0.77039268,4891.2824,8162.1899,-0.12832494,3.2305145,71.514137,-0.010750226,0.79342494,0.075286922,15.395833,0.90248602,7.6519254,12.94686,-0.047001902,-0.047156551,0.00015464867,-0.076429961,-0.076770836,-1.1355813,0.00034087425,0.063002271,-1.072579,0.18961157,1.0511676,1.4777521,0.058954143,0.21829498,0.044149749,232.15033,444.03532,0.076429961,0.10131207,2.9315806,0.0049191288,0.032421783,-0.18658721 +/- 0.037643461,816.86636 +/- 7.6979164,24.649499 +/- 0.45124301,446.1409 +/- 3.8259627,785.44154 +/- 6.4734302,0.15128312 +/- 0.023500951,-0.51051266 +/- 0.023578276,0.66179578 +/- 7.7324336e-05,0.16653992 +/- 0.038214981,-0.91794972 +/- 0.038385418,-21.179205 +/- 0.56779065,1.0844896 +/- 0.00017043713,23.552762 +/- 0.031501136,2.373557 +/- 0.53628951,4.6764941 +/- 0.094805787,29.649419 +/- 0.52558378,18.121466 +/- 0.73887606,0.72470335 +/- 0.029477071,4.648491 +/- 0.10914749,0.74831781 +/- 0.022074875,4775.2073 +/- 116.07516,7940.1722 +/- 222.01766,-0.16653992 +/- 0.038214981,3.1798584 +/- 0.050656037,70.048346 +/- 1.4657903,-0.013209791 +/- 0.0024595644,0.77721405 +/- 0.016210892
